subject,combo,condition,window_number,F1,F3,C3,P3,O1,F7,T3,T5,Fz,Cz,Pz,Oz,T6,T4,F8,O2,P4,C4,F4,F2,OPTO
30_01,c3,oc,1,0.935059049278399,0.945083531800037,0.9291024310019491,0.8787200919850491,0.9277641703844033,0.9566807623805349,0.9467512975206483,0.9399283237197424,0.9140322971775581,0.9793361557463537,0.9549870479303928,0.917544203749808,0.9663568713846887,0.9874595416247549,0.9815759933000711,0.9176493380628056,0.9430516302177379,0.9663233919184472,0.9847801437029958,0.9849853186377189,0.7610152046446294
30_01,c3,oc,66,0.9228676926613236,0.9275744535738958,0.9174048424010561,0.8730369434307768,0.9380939137962743,0.9629812171593911,0.9422720467687137,0.9242630729209322,0.9196390194554489,0.9666114505961382,0.9388358387472454,0.9068650522479872,0.9562737424021079,0.9762786050263258,0.9801131643851427,0.8833570824432178,0.9306886681637214,0.9552590299242006,0.9798715970417413,0.9932553091258994,0.7856982039258589
30_01,c3,oc,131,0.9387879992402892,0.9149465624767285,0.9139406738010846,0.885234539448186,0.9343842719565147,0.9627030494888997,0.9471027386840042,0.9212602729249513,0.9162012626270416,0.9562502208196367,0.9323307755269046,0.9077169695747687,0.9185408691286937,0.9778936068685578,0.9768239389311706,0.8516174593126139,0.9202050459455795,0.948720663916837,0.9713566551988763,0.9883572039551909,0.825542224687237
30_01,c3,oc,196,0.9407032039855062,0.9041632865766255,0.9114203142830358,0.8659750347340563,0.9352728856594262,0.9647383613374385,0.9428003797630795,0.9007305447138791,0.9011641702482174,0.9470056066924797,0.9222572256719875,0.9030946737994098,0.9178431299811229,0.9712830094036122,0.9725871696032764,0.8660428869447914,0.9282797404525914,0.9489368122396997,0.9732276850437704,0.9867391228617131,0.8396346396006821
30_01,c3,oc,261,0.9528779449583338,0.8975051914514489,0.9197114162656216,0.8729345397003762,0.9360392456733979,0.9497619654788051,0.9425473425691454,0.901410263726176,0.8900593522650533,0.9496244690320749,0.9150678591350258,0.9021044586259794,0.9047761485038002,0.9748437501560266,0.9749491631759569,0.8562254127985371,0.9203068636581997,0.956245628176527,0.9629657521391781,0.9792620114242548,0.8484957995447477
30_01,c3,oc,326,0.9558556727768204,0.9148028155620254,0.9128313547099969,0.8536357607297669,0.9360965058106564,0.9532509414327325,0.9362749249258291,0.9008607691542259,0.8805157736923874,0.9579703840842565,0.9211398982670272,0.9104507566885469,0.911693417202595,0.981644837423229,0.9831499209766127,0.8505887308805874,0.9172190743151125,0.9643379695083747,0.9603035470020992,0.9774270606861901,0.8328877573695157
30_01,c3,oc,391,0.960945644074,0.9260269683804137,0.9119091456049726,0.8658287670013293,0.9053228255825029,0.949684336225673,0.9303667261196363,0.8976014139074242,0.8831252760457918,0.9565324391482255,0.912682473576871,0.9098827393207362,0.9198557267324686,0.9759554689299716,0.9847451885365761,0.8665852225769081,0.9017035277711015,0.9593853559342641,0.9568826584525387,0.9813489947157222,0.8167135802792258
30_01,c3,oc,456,0.9506107575128918,0.9268284137147819,0.9149372744150698,0.8529881072871071,0.8996223292703284,0.9556400833873966,0.9461279128614941,0.8888641956092868,0.8793956665582822,0.9645845294691943,0.9207898785577685,0.9099718795301648,0.9283978097902114,0.9759420968941589,0.9843232891810019,0.8939391651817741,0.9144864843418744,0.9543012759568907,0.9660925569248384,0.9794887880441515,0.7665650535656746
30_01,c3,oc,521,0.9484523822001969,0.9170535752133422,0.9072055834683821,0.8615651725549642,0.9171160199454365,0.9463209978638829,0.9556616416332527,0.88766982077032,0.8641683368987788,0.973983222528037,0.9321491603734963,0.9229002889681885,0.9347449407441933,0.9705313130863661,0.9823789121890563,0.9058205805597866,0.902441630033918,0.9514125039334537,0.94964389314013,0.9791645086911545,0.7895214879532244
30_01,c3,oc,586,0.944920436815769,0.9220534731503047,0.9196042684058036,0.8708104218236579,0.926227085622238,0.9561364885519913,0.9552054010679173,0.9062124918041642,0.8517158861545351,0.9649966590085534,0.9352604681268634,0.9208038916177884,0.9430592178783299,0.9638445001019512,0.979500754038023,0.917288740450237,0.9134058072870976,0.9502262228417299,0.9598481825305406,0.9737074321721333,0.7656815330132549
30_01,c3,oc,651,0.9466510135160456,0.910312146636581,0.9167893363661038,0.8802142727306247,0.9367435277454166,0.9520105533289563,0.9596400025815223,0.9290572036257181,0.8398101752905198,0.9550713702208234,0.9476745002714234,0.918282236111181,0.945720673115346,0.9618463984014902,0.9725974373229287,0.9250874454706677,0.9173292642525742,0.9478111085651046,0.9691911990513092,0.9706200845688712,0.7804979989923961
30_01,c3,oc,716,0.9567739846330027,0.9016202975885408,0.9128825449357881,0.8944043414303496,0.9616036460764729,0.9564273489742625,0.9669401227560208,0.941112055975197,0.8437007250328572,0.9620399284329813,0.9660270096423413,0.9303121838680973,0.9509735104342742,0.9697795283345747,0.9623930031431038,0.9451348864892415,0.9309492492002608,0.9545214493265672,0.9654997332969196,0.9824304458365628,0.8021011422776391
30_01,c3,oc,781,0.9655016524758834,0.8982229989111249,0.9031406387577945,0.9107638206354198,0.9627375950665908,0.9541754950960706,0.9627657938588221,0.9452117220950964,0.8626758046911186,0.958584443393714,0.968997515538739,0.9316709454855674,0.9636011112996812,0.9649589393984179,0.9581634052995192,0.9463727274855847,0.9323601836030612,0.961175270011764,0.9651262700576833,0.9887677207897326,0.8004738855078466
30_01,c3,oc,846,0.9637671841721119,0.9014909564821478,0.8961083519735399,0.906564690110602,0.9339462120551044,0.9668340199675308,0.959941007966494,0.9323718893315752,0.8703376644881275,0.9456473176291793,0.9715936593068039,0.9230732999907029,0.9695801395598994,0.9694683584568178,0.9694157633954372,0.9429236780266793,0.9365095132914183,0.9642460658597294,0.9714347406169861,0.9882136926968241,0.7979727198994544
30_01,c3,oc,911,0.9690740955136986,0.9193675551080859,0.8786807984342481,0.8725873181115199,0.9022440862278183,0.9807143925039279,0.9583804629260995,0.9212801756086716,0.8963894978522535,0.9564073604471689,0.9689930151117337,0.9165811540563172,0.9694374031277143,0.9772358333066756,0.9729691391439319,0.9247710394138697,0.9207209003683965,0.9653064371703124,0.9611399181491047,0.9896467324773162,0.8169624471872599
30_01,c3,oc,976,0.9574656449541223,0.9106102420892044,0.8808462769792504,0.8636308535511519,0.8935372213465557,0.9745146882955289,0.9582710398630939,0.9070390588955043,0.8978446380813692,0.9551662331944888,0.961199982070167,0.9237329238088746,0.9636199908362252,0.9755564783394935,0.9664060760779749,0.9196456733651528,0.9116178265176641,0.960214616812203,0.9514551544662516,0.9848275811391247,0.811321839260843
30_01,c3,oc,1041,0.9605201112260896,0.917187544021216,0.9078851426479276,0.8297803351112597,0.8771161684463623,0.9792893479666696,0.9588043306155835,0.8913909492244054,0.8917887898835857,0.9518896339978874,0.9452527650824681,0.9153068976836627,0.9579718990312909,0.9729458069927517,0.9665231734316156,0.8925123212749728,0.8949881777250009,0.9664596047345071,0.9587526839362169,0.9870808164337246,0.8067553443172201
30_01,c3,oc,1106,0.9585963472651235,0.9204373479791227,0.9213093423410018,0.839536537093621,0.8658657883625868,0.9747740980746462,0.9550455540903976,0.8889318396029295,0.8898494251088588,0.9557296854937609,0.9525211369431872,0.8983577590546635,0.9508129517590918,0.9801743957358136,0.9728516606993546,0.8718478787696021,0.9137373242852688,0.9630743326073449,0.9540079216201376,0.987085579405137,0.8023109773798058
30_01,c3,oc,1171,0.9473236712655686,0.9022829248159341,0.9225534616907062,0.8485310591415843,0.8982342366761477,0.9733561503693448,0.9475458209166929,0.917533940807771,0.8851812102239288,0.9452275648007952,0.9487559370861536,0.9098784076452422,0.9471440867250593,0.9874040572876763,0.9786305858598815,0.8599235508608661,0.9094805887776246,0.9574509027475288,0.9622572371099432,0.9881467008699643,0.8074446032819246
30_01,c3,oc,1236,0.9510074257157599,0.8938885021217828,0.9159214798240738,0.8563540892383531,0.9221118078686442,0.9655425387070373,0.9333152476842721,0.9323332548435571,0.8768014239276165,0.9457307375112224,0.9514372743320013,0.9212040232545549,0.9647223080570384,0.9910685580312181,0.9853075719326913,0.8886236760465855,0.9255080039489415,0.9602969749354133,0.9688705665317111,0.9891204130659021,0.7821615068268003
